STATION,DATE,NAME,PRCP,SNOW
USW00094789,2013-06-30,"JFK INTERNATIONAL AIRPORT, NY US",5.0,0.0
USW00094789,2013-07-01,"JFK INTERNATIONAL AIRPORT, NY US",249.0,0.0
USW00094789,2013-07-02,"JFK INTERNATIONAL AIRPORT, NY US",64.0,0.0
USW00094789,2013-07-03,"JFK INTERNATIONAL AIRPORT, NY US",23.0,0.0
USW00094789,2013-07-04,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-05,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-06,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-07,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-08,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-09,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-10,"JFK INTERNATIONAL AIRPORT, NY US",15.0,0.0
USW00094789,2013-07-11,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-12,"JFK INTERNATIONAL AIRPORT, NY US",69.0,0.0
USW00094789,2013-07-13,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-14,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-15,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-16,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-17,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-18,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-19,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-20,"JFK INTERNATIONAL AIRPORT, NY US",5.0,0.0
USW00094789,2013-07-21,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-22,"JFK INTERNATIONAL AIRPORT, NY US",23.0,0.0
USW00094789,2013-07-23,"JFK INTERNATIONAL AIRPORT, NY US",102.0,0.0
USW00094789,2013-07-24,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-25,"JFK INTERNATIONAL AIRPORT, NY US",8.0,0.0
USW00094789,2013-07-26,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-27,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-28,"JFK INTERNATIONAL AIRPORT, NY US",18.0,0.0
USW00094789,2013-07-29,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-30,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-07-31,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-01,"JFK INTERNATIONAL AIRPORT, NY US",165.0,0.0
USW00094789,2013-08-02,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-03,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-04,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-05,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-06,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-07,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-08,"JFK INTERNATIONAL AIRPORT, NY US",183.0,0.0
USW00094789,2013-08-09,"JFK INTERNATIONAL AIRPORT, NY US",3.0,0.0
USW00094789,2013-08-10,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-11,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-12,"JFK INTERNATIONAL AIRPORT, NY US",122.0,0.0
USW00094789,2013-08-13,"JFK INTERNATIONAL AIRPORT, NY US",188.0,0.0
USW00094789,2013-08-14,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-15,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-16,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-17,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-18,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-19,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-20,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-21,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-22,"JFK INTERNATIONAL AIRPORT, NY US",20.0,0.0
USW00094789,2013-08-23,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-24,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-25,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-26,"JFK INTERNATIONAL AIRPORT, NY US",5.0,0.0
USW00094789,2013-08-27,"JFK INTERNATIONAL AIRPORT, NY US",8.0,0.0
USW00094789,2013-08-28,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-29,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-30,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-08-31,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-01,"JFK INTERNATIONAL AIRPORT, NY US",5.0,0.0
USW00094789,2013-09-02,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-03,"JFK INTERNATIONAL AIRPORT, NY US",3.0,0.0
USW00094789,2013-09-04,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-05,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-06,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-07,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-08,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-09,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-10,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-11,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-12,"JFK INTERNATIONAL AIRPORT, NY US",74.0,0.0
USW00094789,2013-09-13,"JFK INTERNATIONAL AIRPORT, NY US",23.0,0.0
USW00094789,2013-09-14,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-15,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-16,"JFK INTERNATIONAL AIRPORT, NY US",5.0,0.0
USW00094789,2013-09-17,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-18,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-19,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-20,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-21,"JFK INTERNATIONAL AIRPORT, NY US",84.0,0.0
USW00094789,2013-09-22,"JFK INTERNATIONAL AIRPORT, NY US",295.0,0.0
USW00094789,2013-09-23,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-24,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-25,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-26,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-27,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-28,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-29,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-09-30,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-01,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-02,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-03,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-04,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-05,"JFK INTERNATIONAL AIRPORT, NY US",3.0,0.0
USW00094789,2013-10-06,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-07,"JFK INTERNATIONAL AIRPORT, NY US",66.0,0.0
USW00094789,2013-10-08,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-09,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-10,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-11,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-12,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-13,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-14,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-15,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-16,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-17,"JFK INTERNATIONAL AIRPORT, NY US",3.0,0.0
USW00094789,2013-10-18,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-19,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-20,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-21,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-22,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-23,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-24,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-25,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-26,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-27,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-28,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-29,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-30,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-10-31,"JFK INTERNATIONAL AIRPORT, NY US",13.0,0.0
USW00094789,2013-11-01,"JFK INTERNATIONAL AIRPORT, NY US",18.0,0.0
USW00094789,2013-11-02,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-11-03,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-11-04,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-11-05,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
